date,ticker,comment_volume,average_sentiment
2024-02-02,AAPL,30,0.46206
2024-02-02,AMZN,18,0.3605833333333333
2024-02-02,BRK.B,1,0.9111
2024-02-02,COST,61,0.3773590163934426
2024-02-02,GOOGL,25,0.633176
2024-02-02,HD,1,0.9878
2024-02-02,KO,1,0.9435
2024-02-02,META,21,0.4853047619047619
2024-02-02,MSFT,10,0.31246999999999997
2024-02-02,NVDA,2,0.4647
2024-02-02,PM,3,0.17393333333333336
2024-02-02,TSLA,14,0.7150142857142857
2024-02-05,AAPL,40,0.49269999999999997
2024-02-05,AMZN,10,0.51788
2024-02-05,COST,67,0.4251223880597015
2024-02-05,GOOGL,25,0.41826399999999997
2024-02-05,META,6,0.7243499999999999
2024-02-05,MSFT,6,0.37448333333333333
2024-02-05,NVDA,1,0.8805
2024-02-05,PM,2,0.46965
2024-02-05,TSLA,7,0.21971428571428575
2024-02-06,AAPL,66,0.38422575757575755
2024-02-06,AMZN,9,0.6772777777777779
2024-02-06,COST,62,0.3287790322580645
2024-02-06,GOOGL,17,0.4441117647058824
2024-02-06,HD,2,0.6936
2024-02-06,META,18,0.41459444444444443
2024-02-06,MSFT,4,0.419925
2024-02-06,NVDA,11,0.5304909090909091
2024-02-06,PG,1,0.0
2024-02-06,PM,1,-0.9075
2024-02-06,TSLA,16,0.328275
2024-02-07,AAPL,78,0.16968717948717948
2024-02-07,AMZN,17,0.45802352941176466
2024-02-07,COST,50,0.42992800000000003
2024-02-07,GOOGL,18,0.3726055555555556
2024-02-07,HD,1,0.0
2024-02-07,META,23,-0.012417391304347832
2024-02-07,MSFT,5,0.43651999999999996
2024-02-07,NVDA,1,0.6187
2024-02-07,PM,3,0.9490999999999999
2024-02-07,TSLA,25,0.339656
2024-02-08,AAPL,57,0.3052456140350877
2024-02-08,AMZN,4,0.3087
2024-02-08,COST,43,0.28220232558139535
2024-02-08,GOOGL,43,0.37679302325581393
2024-02-08,META,21,0.4892285714285714
2024-02-08,MSFT,14,0.42518571428571433
