date,ticker,comment_volume,average_sentiment
2022-01-10,AAPL,31.0,0.38183870967741934
2022-01-10,AMZN,16.0,0.59885625
2022-01-10,BRK.B,0.0,0.0
2022-01-10,COST,77.0,0.39803506493506496
2022-01-10,CRM,0.0,0.0
2022-01-10,GOOG,0.0,0.0
2022-01-10,GOOGL,25.0,0.324932
2022-01-10,HD,0.0,0.0
2022-01-10,IBM,1.0,0.6486
2022-01-10,INTU,0.0,0.0
2022-01-10,JNJ,0.0,0.0
2022-01-10,JPM,0.0,0.0
2022-01-10,KO,0.0,0.0
2022-01-10,MCD,0.0,0.0
2022-01-10,META,14.0,0.5665285714285714
2022-01-10,MSFT,9.0,0.5014888888888889
2022-01-10,NFLX,1.0,-0.6326
2022-01-10,NVDA,1.0,0.952
2022-01-10,ORCL,0.0,0.0
2022-01-10,PEP,0.0,0.0
2022-01-10,PG,1.0,0.6756
2022-01-10,PGR,3.0,0.4361333333333333
2022-01-10,PLTR,0.0,0.0
2022-01-10,PM,0.0,0.0
2022-01-10,RTX,1.0,0.7469
2022-01-10,TSLA,6.0,0.38178333333333336
2022-01-10,VZ,2.0,-0.05459999999999998
2022-01-10,WMT,0.0,0.0
2022-01-11,AAPL,40.0,0.3304025
2022-01-11,AMZN,12.0,0.3025
2022-01-11,BRK.B,1.0,0.8699
2022-01-11,COST,53.0,0.414311320754717
2022-01-11,CRM,1.0,0.087
2022-01-11,GOOG,0.0,0.0
2022-01-11,GOOGL,66.0,0.0868409090909091
2022-01-11,HD,0.0,0.0
2022-01-11,IBM,0.0,0.0
2022-01-11,INTU,0.0,0.0
2022-01-11,JNJ,0.0,0.0
2022-01-11,JPM,0.0,0.0
2022-01-11,KO,1.0,0.6386
2022-01-11,MCD,0.0,0.0
2022-01-11,META,17.0,0.19355882352941176
2022-01-11,MSFT,12.0,0.42425833333333335
2022-01-11,NFLX,2.0,0.8781000000000001
2022-01-11,NVDA,2.0,-0.20704999999999996
2022-01-11,ORCL,1.0,0.0
2022-01-11,PEP,1.0,-0.9444
2022-01-11,PG,0.0,0.0
2022-01-11,PGR,1.0,0.7469
2022-01-11,PLTR,0.0,0.0
2022-01-11,PM,2.0,0.13179999999999997
2022-01-11,RTX,0.0,0.0
2022-01-11,TSLA,4.0,0.7020500000000001
2022-01-11,VZ,0.0,0.0
2022-01-11,WMT,1.0,0.9834
2022-01-12,AAPL,64.0,0.408296875
2022-01-12,AMZN,6.0,0.7483
2022-01-12,BRK.B,1.0,-0.4939
2022-01-12,COST,54.0,0.38240740740740736
2022-01-12,CRM,0.0,0.0
2022-01-12,GOOG,0.0,0.0
2022-01-12,GOOGL,41.0,0.41922195121951217
2022-01-12,HD,0.0,0.0
2022-01-12,IBM,1.0,0.3079
2022-01-12,INTU,0.0,0.0
2022-01-12,JNJ,0.0,0.0
2022-01-12,JPM,0.0,0.0
2022-01-12,KO,7.0,0.036885714285714286
2022-01-12,MCD,0.0,0.0
2022-01-12,META,12.0,0.23080833333333337
2022-01-12,MSFT,27.0,0.38301111111111114
2022-01-12,NFLX,2.0,0.1643
2022-01-12,NVDA,3.0,0.8038666666666666
2022-01-12,ORCL,1.0,-0.9608
2022-01-12,PEP,0.0,0.0
2022-01-12,PG,1.0,0.6837
2022-01-12,PGR,2.0,-0.30315000000000003
2022-01-12,PLTR,0.0,0.0
2022-01-12,PM,1.0,-0.0258
2022-01-12,RTX,0.0,0.0
2022-01-12,TSLA,10.0,0.0013600000000000057
2022-01-12,VZ,1.0,0.8176
2022-01-12,WMT,1.0,-0.703
2022-01-13,AAPL,88.0,0.3849034090909091
2022-01-13,AMZN,10.0,0.23630999999999996
2022-01-13,BRK.B,1.0,0.5844
2022-01-13,COST,98.0,0.32796326530612246
2022-01-13,CRM,1.0,0.3612
2022-01-13,GOOG,1.0,0.9506
2022-01-13,GOOGL,33.0,0.3612484848484849
2022-01-13,HD,0.0,0.0
2022-01-13,IBM,3.0,0.5781999999999999
2022-01-13,INTU,0.0,0.0
2022-01-13,JNJ,0.0,0.0
2022-01-13,JPM,2.0,0.3669
2022-01-13,KO,0.0,0.0
2022-01-13,MCD,1.0,0.6843
2022-01-13,META,13.0,0.12198461538461537
2022-01-13,MSFT,11.0,0.32987272727272726
2022-01-13,NFLX,2.0,0.9821
2022-01-13,NVDA,0.0,0.0
2022-01-13,ORCL,1.0,0.3314
2022-01-13,PEP,0.0,0.0
2022-01-13,PG,0.0,0.0
2022-01-13,PGR,0.0,0.0
2022-01-13,PLTR,0.0,0.0
2022-01-13,PM,0.0,0.0
2022-01-13,RTX,0.0,0.0
2022-01-13,TSLA,5.0,0.024260000000000004
2022-01-13,VZ,0.0,0.0
2022-01-13,WMT,7.0,0.3227857142857143
2022-01-14,AAPL,27.0,0.4689962962962963
2022-01-14,AMZN,20.0,0.47686
2022-01-14,BRK.B,3.0,0.5841333333333333
2022-01-14,COST,61.0,0.28801147540983607
2022-01-14,CRM,1.0,0.9416
2022-01-14,GOOG,0.0,0.0
2022-01-14,GOOGL,16.0,0.2594
